指标,治疗组_基线,治疗组_终点,治疗组_变化,对照组_基线,对照组_终点,对照组_变化,DID估计量,DID标准误,DID_P值,DID_95%CI下限,DID_95%CI上限,R²,样本量
ALT,26.341771713019142,26.73611111111111,0.3943393980919687,24.975609756097562,26.429752066115704,1.4541423100181419,-1.0598029119261991,2.1693960670139267,0.6253793755609225,-5.321418188628507,3.201812364776109,0.0027959723699434447,537
AST,25.159541345749027,25.881944444444443,0.7224030986954162,23.83739837398374,25.173553719008265,1.336155345024526,-0.6137522463291184,1.4799348602564306,0.6785168893818814,-3.5209728801685967,2.29346838751036,0.007261517769870163,537
GGT,32.03657841947547,34.951388888888886,2.9148104694134176,28.528455284552845,29.66115702479339,1.1327017402405453,1.7821087291728466,3.4938973194705314,0.6102182750290214,-5.081389558799883,8.645607017145576,0.014802803163768918,537
ALP,76.90096337204983,75.15753424657534,-1.743429125474492,79.869918699187,74.3305785123967,-5.539340186790298,3.795911061315852,5.0447443021345295,0.45211222774625437,-6.1140250753914085,13.705847198023113,0.004932193590845291,539
白蛋白,45.483758389261745,45.453741496598646,-0.030016892663098815,46.43739837398374,46.518181818181816,0.08078344419807593,-0.11080033686110369,0.5733577457381467,0.8468378179951369,-1.2371041232623932,1.0155034495401858,0.022648780660878276,540
胆红素,17.56261423016915,17.36159722222222,-0.20101700794693045,15.49918699186992,17.354545454545455,1.855358462675536,-2.0563754706224726,1.326429864079651,0.12166103107213778,-4.66204709425399,0.5492961530090446,0.011347777283828742,537
肝硬度值,13.536986301369861,9.349193548387099,-4.187792752982762,11.350000000000001,9.057692307692308,-2.292307692307693,-1.8954850606750684,1.1133553661695996,0.08935267360501493,-4.083506320772376,0.2925361994222393,0.09520179515595051,454
血小板,154.64705882352942,161.83333333333334,7.186274509803923,190.1855421686747,197.65714285714284,7.471600688468158,-0.2853261786639716,12.023325241826742,0.981078652740792,-23.920209993623956,23.349557636296012,0.08184066450485161,415
HBsAg,1600.4069,1786.1104379562044,185.7035379562044,2730.2835126050427,2312.609541284404,-417.6739713206389,603.3775092768424,632.6947536343998,0.34071419619742915,-639.6844039749221,1846.4394225286069,0.015747455730766746,505
