Treated_ID,Control_ID,Treated_PS,Control_PS,Distance
R1165782,R1165782,0.48908620125586744,0.48908620125586744,0.0
R2339753,R2339753,0.6317400872126578,0.6317400872126578,0.0
R1168968,R6630686,0.48818635554110723,0.4881060120118338,8.034352927344113e-05
R2622682,R6213101,0.5337844532964325,0.5336867432297165,9.771006671599469e-05
R5939383,R7481762,0.6526500592120668,0.6525416445534574,0.00010841465860933486
R3717078,R4734223,0.5762873447067508,0.5761075786961403,0.0001797660106105381
R5944128,R5247232,0.6353775425174747,0.6355969726870329,0.00021943016955816574
R6534548,R7218800,0.5251352308535777,0.5248964714804943,0.0002387593730833748
R2271255,R6133645,0.6238092542334549,0.6234510095834327,0.0003582446500222103
R1364437,R1971435,0.6125295765083826,0.6121516384692793,0.00037793803910324275
R5345350,R5752031,0.5201692221722108,0.519789798440834,0.00037942373137689334
R6151506,R3204057,0.49633032808972294,0.49675961585565914,0.00042928776593620377
R6904833,R1515891,0.5490754858657426,0.5496559857428599,0.0005804998771172798
R1370107,R5504357,0.49795446444514935,0.4973495818804923,0.0006048825646570721
R6580081,R1641255,0.507497003767703,0.5081385455511437,0.0006415417834406689
R1093844,R3488548,0.5897535931537964,0.5890781144789186,0.0006754786748778274
R3777636,R1341554,0.47164435522459697,0.4723623166071124,0.0007179613825154529
R5486376,R5487261,0.5144090490489853,0.5152615559673979,0.0008525069184125433
R1664361,R6861112,0.5914664196937377,0.5905924632448781,0.0008739564488595697
R7340892,R670270,0.49077482461763644,0.48979682812389475,0.0009779964937416952
R4165182,R5785302,0.4598449076072326,0.4608696321370333,0.0010247245298006802
R7411181,R6151975,0.46765013119632165,0.4664807196331091,0.0011694115632125412
R1194020,R1644366,0.5863853636579905,0.5879201766431172,0.001534812985126699
R3391086,R4351813,0.5400736625328788,0.537884790786728,0.002188871746150789
R5544426,R5035080,0.4764918525131188,0.47289073987094954,0.0036011126421692796
R5645071,R4703126,0.5563796032033069,0.5520388868279431,0.004340716375363818
R5907469,R3373688,0.6029701013004991,0.6099941172772962,0.007024015976797138
